Date,IBM,BRK-B,KO,AXP,JPM,WFC,STT,BK,CI,WMT,COST,TRV,PNC,GS,MCO,DE,ECL,MSFT,DD,PG,BLK,HD,BA,VRTX,A,DIS,INTC,JNJ,FDX,TGT
4/25/2000,9576400,340000,8711600,9650500,6327100,8943000,1579200,1878600,1643400,6038300,3733300,1421500,778600,1341500,1075600,1887000,578800,159517400,2456000,20658400,74600,5227700,5399600,703600,1123200,3749400,51342400,5635600,1330200,1850200
4/26/2000,6182800,275000,9536200,7974100,5500500,7376000,1596400,1734000,1434000,5202000,3081000,976300,817000,1626100,1090400,908200,712000,107091200,2430400,24605400,67700,4469400,5338300,291600,976500,6002600,47572000,5480000,1109100,2783200
4/27/2000,6317500,280000,9023200,8248300,9298200,9294800,1989600,1716000,1970100,5515000,5615600,1988700,965200,1772400,967800,1745800,830200,77669800,3515600,15193000,12600,4940000,3176700,167000,2281200,4674800,61088400,4756600,1322100,2492800
4/28/2000,4888600,325000,7568800,7877500,8603200,9847000,1048400,1817000,2165700,5012600,3699000,1365100,1174600,1145600,890400,1451600,764800,78082600,3470700,10627400,43100,6475300,1853600,596000,1779300,11731200,44336400,5149400,977100,1839600
5/1/2000,4196100,520000,7754000,8790200,8439700,9475400,2306200,1304700,2261100,5109000,3629500,1281500,847700,2319300,1428200,1827400,643400,107811000,2171000,7527600,97500,4360000,2886100,800400,1895600,8919200,42389800,5819600,975300,3271400
5/2/2000,4085000,700000,9209400,7036400,8411200,7786800,2657400,1365000,4949700,4821500,3729600,1008000,1178500,1666500,1448200,1803600,1046400,97716200,3169100,5692200,6100,3961700,2552200,1089000,4259400,9296600,43871400,5156800,1324700,3441600
5/3/2000,5543800,545000,14397400,8556800,9320500,8711600,2714400,1709500,3910500,10457300,7462700,567800,653900,1931000,890200,1219600,1325200,55354800,1952800,7259400,23000,6666000,3311300,615000,2327300,6513700,58988600,5079000,878800,5692200
5/4/2000,3631300,305000,6842400,6946900,6172200,6629600,1458600,1367500,2892600,10766900,9973900,741800,470900,920700,1884000,2078400,819000,43317200,1775400,6600800,6300,6863800,2981100,514200,1188300,7127400,40984800,3048800,1724600,7076400
5/5/2000,4695100,200000,5999200,5857700,14505100,5063400,1367400,1444900,2553000,8640000,4189400,385500,371500,1378100,546400,1786400,841400,36402200,1292700,4403000,6200,6345700,2794900,619600,1263300,3471300,34217400,4241200,1689600,4202800
5/8/2000,4826900,140000,6013000,6339300,5497600,5539600,1815600,1049200,2167800,7626100,3451500,552700,528500,2817000,1355800,1469800,713000,36187600,1490600,5588600,20400,5133800,3146400,908000,1078200,3582200,40937800,9178800,1870500,3327000
5/9/2000,4864900,400000,22386000,7276300,6378000,5631800,1558800,1875100,2468700,8888200,2988400,733000,483900,1739100,347000,1664000,1005400,60778400,1677800,8452800,19900,4821700,2567300,4565800,1718500,3407000,43054000,8159000,1347000,3977600
5/10/2000,10012700,815000,21062000,10161200,6616000,7265400,1459400,1064300,1824600,11245300,3644300,460700,559800,2340600,631800,1814000,448600,67740000,1180900,8208000,23400,6547300,4880400,1361400,1601400,6369800,97225600,8313000,1256000,3334800
5/11/2000,8106200,415000,15919400,3806000,7853100,6144800,2050400,1470100,2676900,6105300,2339900,764000,706400,2276000,774600,5960200,595000,58390800,3058600,6666800,30200,4413300,2947200,1221800,1681900,3334500,70267600,4636200,1472000,1700000
5/12/2000,5599700,325000,7498200,3613200,12221800,8653800,2204400,1292000,1813200,4371000,2610000,706000,404100,1911200,1837800,4789800,636400,37886000,1532100,4255800,32300,3683400,2455200,1161600,13565900,3104600,38429400,4074200,741600,1544400
5/15/2000,5907800,740000,8056600,3887300,6703200,6668600,1970000,1951700,3345300,4272300,3392900,1472000,706100,1668900,1755000,2729800,619000,33899600,1342400,4648000,73700,5611300,2913500,633800,4442800,3892000,41105400,4477200,2548500,1721400
5/16/2000,7265800,885000,16476600,4043600,7925100,7645800,2035200,2932200,2522100,6378700,2932400,1424900,523200,2538400,1803800,7587000,813600,48410600,1834600,6308800,26100,13052500,3815700,537600,5770800,5938700,44468400,5165400,1806300,3474200
5/17/2000,5524500,340000,8448600,3567800,4350600,4750200,1622200,1244300,2050800,4592300,4054800,1012400,381400,1231000,1008400,4932800,389200,53242000,2629000,6044400,5300,7027500,2739800,654200,12450700,4089800,65543200,3507200,1334200,3540800
5/18/2000,4577200,290000,8098600,3115600,5156200,4738000,1389200,2233500,1863000,4887900,3042200,761900,491600,1493000,891200,4023800,515600,53640400,1577400,5166400,9400,6951400,2050100,1347200,6153400,4393600,50141400,6088800,1051600,4578200
5/19/2000,6419200,285000,10053600,3258000,5114500,4993000,1617800,2694500,2181300,6357700,4730400,687200,368500,1537500,709800,2424200,690200,66578000,2618700,5963800,38200,5682600,2193900,489600,5261000,4461300,71968000,7074000,866900,2721200
5/22/2000,6769400,430000,9716400,3427700,4164600,3989000,1821800,1579200,2984700,4628100,8660100,941300,835500,1345600,727200,5611000,391400,69955000,1587700,6186200,6700,5313500,2984100,340800,7820600,4200500,59249600,6134800,910500,2282800
